QUHUADAIMA,LOCATION,val
110000,北京市,0
120000,天津市,0
130000,河北省,0.09
140000,山西省,3.35
150000,内蒙古自治区,0.57
210000,辽宁省,0.14
220000,吉林省,0.21
230000,黑龙江省,0.55
310000,上海市,0.04
320000,江苏省,0
330000,浙江省,0
340000,安徽省,0.36
350000,福建省,1.96
360000,江西省,0.22
370000,山东省,0.28
410000,河南省,0.14
420000,湖北省,1.01
430000,湖南省,0
440000,广东省,0.07
450000,广西壮族自治区,0.61
460000,海南省,0.25
500000,重庆市,0
510000,四川省,0.46
520000,贵州省,0.24
530000,云南省,0.59
540000,西藏自治区,1.35
610000,陕西省,0.05
620000,甘肃省,0.22
630000,青海省,1.21
640000,宁夏回族自治区,1.3
650000,新疆维吾尔自治区,0.18
710000,台湾省,
810000,香港特别行政区,
820000,澳门特别行政区,
